*****************High Level GA Generations : 0****************************
3 14 5 4 4 5 13 4 8 4 2 1 3 10 13 	0
7 1 6 11 1 2 4 7 9 4 3 13 1 9 7 	0
8 3 10 11 1 3 9 7 6 14 3 6 6 6 13 	0
9 10 10 1 9 3 2 14 8 9 1 5 7 9 10 	0
11 4 8 12 10 13 8 12 14 8 7 14 1 10 13 	0
3 13 13 7 5 2 14 6 6 7 11 5 14 1 5 	0
5 7 5 13 10 1 6 5 9 12 6 7 9 1 4 	0
14 12 13 12 12 11 12 12 4 9 6 10 1 3 6 	0
13 11 5 7 9 7 11 1 5 4 8 12 3 6 6 	0
7 10 13 3 14 12 5 9 14 14 8 4 12 12 11 	0
2 10 7 7 14 13 2 5 5 9 10 9 3 1 6 	0
6 12 2 9 12 14 8 7 7 12 13 14 10 8 1 	0
8 12 4 2 7 1 8 6 11 5 10 7 3 6 1 	0

