6619500	21067,12352,4949,11465,8689,11176,3627
5952250	6827,5067
145750	3847,2257,24242,11196
9288000	11328,2971,20506,11465,20472,19993,2683
12008000	14261,24274,25618
8555500	7762,19379,4738,25372,27615,10741,18180,5598,29078
425500	12285,8313
4853750	25596
4256500	2410
9039750	23491,27092,11679,7456,11018,23143,13087,1293,17013,27406,7105,14580,3228,11196
4115500	6731
12215000	3164,4939,23284,14261,9363,15639,4949,14942,8637,7868,12352,6672
591750	5416
11947000	28967,1758,15233,2322,6505,21911,23482,20411,13103,9522,11080
5256500	20679,614
7367000	21336,21975,15686
4956000	14580
7927750	20279,15065,26341,18624,26288
9982500	542,9369,2683
4606000	21110,14887
6572500	29099
10443000	8719,23628,25488,2373,19466,27135
1710500	1084,28065,14780,18977,7868
9706000	25933,19120,18508,16823,29363,9612,849,3980,11487,19431,29099,20846,23340,13765,15138,22094,6364,14694,20297,12168
3913250	12220,3626,13240,14020,15159,10136,9230,9948,8689,9242,8409
10063000	22889,20207,21110,10893,14930,22393
4195500	9802,7868,20456,7737
239250	12647,28481
5292000	11670,23779,8643
1194750	8637,4059,7400,25366,83
5108000	14020,7070,15094,10532,647,29203,3627,29547,4254,14580,11080
1617250	12283,5077,28463,18002,11951,11329,2217
4054000	24088,9090
8145500	21883
567250	11080
12371000	2254,14294,12394
6867750	7552
1319000	5797,21849
1832000	25372,10916,25687
3188000	18025,9567
8430000	8637
29750	21672,12220
980000	3228
5139250	11080
6099250	11823,25372,13244
2050000	12329,4053,15231,27791,5306,14242,26866,21659
2316250	679,9657,26288,9688,949
10533750	24601,14261
10915250	18075
4557250	27228,19962
8909750	24054,28270
7116750	12541,2257,14930,10308,11196
1815750	5067
1971500	8316,14415,4411,5315,5834,1739,23019,26860,22043,19166,7654,17550,8385,24070,7692,18712,21919,7469,7624,14917,4479,21715,13701,7096,11000,25329
5170500	18730,18805,6096,21672
11111500	25142,27791
6996000	13754,12165
7016500	13020,29203,14020
6264750	7620,1415,21110
9202750	25596,7620,21110
10302500	18167,7409,26087,679,6630,14065,28164
3114000	20536,23928,21110,21092
452750	25488,141,251,10872,14796
3404000	12352,8689,4949,18273,11176,8446,29,6246,3627,22246,905
1063000	530,14165,22280,28481,15019
8435250	10999,23896,16540,11679,21067,18730,11080,16110,7105,14261
8869250	8689
6126750	15019,24977,25117
6766250	4307,27791
1579250	9906,21160,4953,25424,24194,4078
764750	14153
12417500	17959,8689
