10944750	,27638,28752,25687,25372
12028500	,23656,16540,6203,21565,13390
1206500	,10193,2159,13494,16939,4571,21865,22727,7868
12154500	,27791,28621,16939,4571,2683,13494,9471,5470,8689,21865,2568,9549,22727,17640,7868
1620500	,5833
4716750	,14265,18805,9532,15018,16603,26754,20506,11465,20472,29202,29099,2438,8637,11080,20425,14294,22393,12220,28410,13483,15584,19993,21110,12168,2683
4844000	,11679,24196,12220,7868
5654000	,4775,29231,11080,23861
5735000	,21865,22727,7868
5780000	,7061,22529,17061,23781,14261,22313,18736,15315,18515,11022,262,17959,8313,17214,5814,21092,21336,15811
6061250	,20506,12220,22359,14261,29203,23612,16463,11176,4949,679
8170750	,15584,11882,23143
8622000	
10224750	,1481,11196,11679
10229250	,24869,12168,5863,18805,21110,28438,8689
10302500	,8689,26087,6630,14065,28164,679
10546500	,21838
1110750	,27791,2729,21110,24571,20578
12015000	,7552
12173500	,29287,21110,28370,7868,11465,1325,28184,4949,8689,11176,12352,15405,9817,554,3627
12388250	,23793,1539,28391
1971500	,5834,1739,23019,27791,26860,14294,22043,19166,7654,17550,8385,24070,7692,21919,18712,7469,7624,14917,21715,4479,13701,7096,11000,25329
2626250	,12394,25193,11176
3963750	,13020,3809,14902,7356,12977,3590,11612,18730,23612,7096,12394,26972,13737,19421,11330,16624,21067,251,23662,4949,11176
434750	,6542,19973,16972,27511,21911,4571
5220750	,12168,5863,22621,26959,28438,8689
5254500	,28463,7105,8689,14227,9072,10193,2159,4571,16939,13494,21865,22727,7868
6571000	,13878,5470,13430,4254,12162
6849750	,27965,6246,23556,19796,2199,29099,2655
6977000	,4571,16939,13494,21865,22727,7868
7703750	,21865,22727,22908,7868
8149250	,949,16406,4949,15924,12162,18075,11018,2367,4931,24780,23143,7868,17013,24015,27406,23779,29547,17835,7105,3228,11679,11196
8757750	,2669,25733,18024
9288000	,15018,16603,26754,20506,11465,14294,20472,2438,2971,29099,8637,11080,20425,22393,12220,28410,13483,15584,21110,19993,12168,2683
10696000	,14153,11022,19615,14887,3458,21110
11391250	
1661750	,2729,24196,15315,679,14020
1832000	,22727,7868
2771250	,12606,28744,11052,23284,14694,2513,789,2963,26722
2852250	,11080,21706,11679,21657,7105,1222,11682,16110,14261
3211250	,1047,23662,11076,7173,12431,6148,27155,17706,16110
3581250	,5848,5086,23214,23482,22126
4256500	,2410
5034000	,18002,18730,2128,11679,16550,7465,12220
5901250	,11196,2513,14902,11612,11793,22482,11176,18730
6257000	,23628,12285,18990,3740
6996000	
9720000	,2771,13830,16315,26871,1392
10057000	,8193
11362000	,10404,9609,17232,10240,4324,2963,8693
11687000	,21336,18805,264,10353,21110,12160,12168,5863,28438,8689
11847750	,3555
12008000	,11080,11679,21657,7105,1222,16110,14261
12215000	,9363,14261,15639,3627,4949,14942,8637,7868,12352,6672
1969000	,25372,10680,5987,14020,1335,18730,22583,7465,18002,2128,16550,11679,12220
2132250	
3089500	
4770500	,599,9609,15315,9165,13554,12220,27191,6988,20297,10404
4809750	,12220,20506,679
7002750	,1831,1481
799000	,27791
8102000	,17405,1547,25212,25596,2438,22393,25989,20620,7620,21092,12220,14294,2683,21110
8666500	,11790
9035750	,20661,7850,9881,29099
9163000	,7868,21672,28184,6096,11080
9244000	,20470,24541,2683,18805,24517,28463,7105,8689,9072,14227,10193,2159,4571,16939,13494,21865,22727,7868
1046250	,6621,251,1831,2257,27791
10768750	,19993,6672,2683
10927500	,11080,14580
11046750	
11339250	
1904750	
1906000	,15018,16603,29202,20506,26754,1831,11465,20472,29099,9532,8637,11080,20425,2438,14294,22393,28410,13483,15584,12220,19993,12168,21110,2683
1909250	,23470,14209,24645,10014,504
2138750	,16821,18805,25415,7868
2476250	,21110
2874500	,22727,28370,10840,4172,7910,6203,14914,7868
2921750	,27371,22280,3228,7105,11201,15446,14182,29547,143,27791
317500	,25086,12352,9620,18805
3524750	,26871
3849750	
39750	
4184250	,14695,23928,11687,11983,12220,28710,11196,4949,10788,14020,241
4215750	,19574,11793,4571,23928
4956000	,22393,15315,14580,11080
5108000	,15094,10532,647,11176,4949,29547,29203,14580,4254,12352,14020,3627,11080
6874250	,11628,29202,15018,12747,20506,24844,11465,18805,14694,14265,20472,2438,29099,14294,16603,26754,20425,11080,8637,12220,22393,28410,13483,21110,15584,19993,12168,2683
8040000	,26464,14020,239,5372,22547,8257,17400,27791,5429,10151,16406,22583,28059,2655,15138
9103250	,11679,2655,12220
9344000	,21110,17024
10095000	,28270,7868,14533,19973,17061,19394,21067,12977,11080,11679,21657,7105,1222,16110,14261
10831750	
11434750	,7071,9985
2078000	,11612,17449,11176,14902,27791
3257000	,13592,14796,27791,12220,20506,7868,679
3590000	,28924
3787750	,14020,2610
5898500	,7637,11080,24486,25260,12168,11767,11052,374,26722
591750	,13390,21565,12394,12220
6523250	,18075,14020,17060,4949,11018,949,3390,15138,27637,15924,16406,4931,12688,23143,24780,7868,17013,27406,23779,29547,3228,7105,11679,17835,11196
7367000	,18730,143,21975,15686
7687500	,3787,26607,18730,23662,28625,12285,5369,290,12394
9811750	,10014
10064500	,25372,14020,18730,18002,12394,7465,2128,22583,11679,16550,12220
11340250	,22393,26973,2683,25329,21110,12394,14294
11612500	,18741,25372,19974,18075
12065000	
2676250	,18805,5267
3035250	,679,2891,21865,2257,4949,10171,7868,11904,12220,12747,27092,14580,11080
3226500	,6621,27791
371250	,22889,20154,22393,10106,17405,25212,1547,25596,25989,7680,20620,7620,2683,14294,21092,21110
42000	,21684,23656,21565,13390
5754500	,12647,10282,143
9173750	,15639,11052,21815,10999,25260,7560,26722,16406,8689,14020,7105,13020,3228,3627,18730,2257,1047,14261,11196,11679,16110
9628250	,29547,7105,11196,23779
9706000	,3980,11487,19431,13483,28410,6364,15584,14694,23340,13765,25260,11080,24486,29099,22094,11767,26722,20297,2683,12168
981000	,7868,4938,10726,11465,11080,26722,21672,29099,11196,4997,23612,16110,12220,11679,14020,29095,16406,12352,18730,8689,14902,14153,11612,27160,8662,3627,12394,4949,11176
10054250	,1079,4667,8425,11159,19660,20297
10619000	,12647,4949
1459750	,3228,22583,12394,21110,2128,15138,28059,16550,12220
1966250	,11080,7186,6672,12352,14580,14161,255,4709,11196,819,9838,12977,1047,3627,18730,4949,25260,8724,8027,3228,16110,11052,26722,2257
3054250	,12285,24196,29203,15138,3151,14020
3293750	,18075,25193,26523
3952000	,18002,28631,29099,7465,4479,11679,16550,2128,12220
4850000	,19980,614,1428,11605
4963500	,1547,20154,25596,17405,25212,25989,7620,20620,2683,14294,21092,21110
5082750	,7868
5906250	,14182,3228,29547,251,1831,143,27791
11493000	,24541,2683,18805,24517,28463,7105,14227,10193,2159,8689,4571,9072,16939,13494,21865,22727,7868
11894500	,9295,16609,2655,16406,14020,22583,28059,15138
12231250	,12220,9838,19835,3627,2683,4709,2257,22246,11080,905,24486,6246,25260,12168,11767,11052,26722
1446250	,14261,7868,11196,7105
3188000	,18025,9567,16463
3520000	,5254,2999,23928,14415,1700,21919,14020,28065
364250	,24015,15584,11882,16110,23143,12220,11196,11679
38250	,12977,3228,15138,14902,11612,12394,4949,18730,14265,11176
5959000	,25086,14242,27791,18805,251,14153
6247250	,28626,19615,15814
6564500	,11080,14020,14153,7105,11679,27160,3228,26576,8662,29099,7868,23612,7323,5086,21672,16110,12977,12394,29095,18730,11612,14902,11196,16406,4949,11176
7345250	,22484,15138
7699500	,360,13592,3457,9912,28230,14182,9802,1222,28410,22280,8719,18730,23928,11080,11793
83250	,6174,25329,4220
10047250	,12132,3555
11142000	,3627,18180,9620,29099,12352
1381000	,25329,11080,29099,11679,21657,7105,1222,16110,14261
2428500	,7868,17640
380000	,12220,2128,22094,14174
4102750	,21787,10026,26843,20585
4922750	,2669,25733,18024
5769750	,16818,24503
5847500	,1831
6619500	,16110,201,15405,21110,7868,11465,9817,11176,4949,8689,12352,554,3627
7927750	,26341,15065,3032,18624,26288
8129250	,14227,18097,9072,8689,10193,2159,18805,4571,16939,13494,25733,21865,22727,7868
10018000	,7868,15874,27791
10257500	,10893
10309250	,5043
11111500	,1831,25142,27791
11321750	,4294,23338,3228,24907,11730,7997,29547
1148000	,23284,21110
11936000	,28641,12394,13020,21110,14294
12337750	,3627,554,21110,21092
1240250	,12168,5863,2160,28438,8689
145750	,3847,17013,27406,23779,29547,24242,17835,3228,7105,11679,11196
1517000	,7208
1812000	,16540,9620,17597,24015,617,12977,27637,27092,18075,7456,4949,949,3390,15138,15924,11018,16406,4931,23143,24780,7868,17013,27406,23779,29547,17835,7105,11679,3228,11196
2251750	,6571,23549,22727,7868
2492500	,19005
5012750	,7105,3228,3393,5053,2208,7963,11196
5143250	,5429,26394,16609,21110,26614,14482
6848750	,7070,22319,28438,21336,264,12160,8689
7286500	
7545250	,24015,16110,3228,12220,11196,11679
8271000	,27625,11280
8997500	
9782000	,16406,5086,29364,3151,14902
10069500	,4949,19973,8724,15322,8027,4571,7868,2257
10401500	,17959,21865,8816,13258,14048,24929,22950,27791,7868
10774750	,1577,27791
11874000	,25372,10680,14020,19668,1335,18730,22583,18002,7465,2128,16550,11679,12220
1324500	,6305,10193,2159,4571,16939,13494,27927,21865,22727,5336,7868
3981750	,2257,6520,23143,3228,1831,27791
452750	,12352,141,21865,25488,10872,251,7868,14796,6672
6003750	,5053,15414,647,23013,11196,11080,7737,8792,11679
6754250	,20152,17945
6867750	,7552
7016500	,24196,24193,17606,14020
7190750	,14526
7886000	,5094,4939,29203,1428,1712,6880,9472,15446,5267
10261750	,15645,7868,28270,12977,14533,21067,17061,19394,11080,11679,21657,7105,1222,16110,14261
10588000	,16406,16609,9295,2655,22583,28059,14020,15138
10790500	,11052,22126,26722
11730000	,6193,18024,471,18523,5443,23656,13390,21565
11972750	,4846,7260,21693,7936,15631
1724000	,5443,7868,11176,2683,7323,12352,29099
2168250	,2683,18805,24517,28463,7105,8689,14227,9072,10193,2159,4571,16939,13494,21865,22727,7868
2870250	,24196,4003,7096,14020,17606
3795000	,24601,3627,9620,29099,12352
4853750	,25596
4902250	,2323,14360,4709,23628
5052000	,28463,7105,8689,14227,9072,10193,2159,4571,16939,13494,5150,21865,22727,7868
6400000	,9567,3313,15258,2452
711500	,6246,374,15935,17118,14360,12220,14580,24519,18730,19835,3228,9838,16110,2683,4709,2257,11080,24486,25260,12168,11767,11052,26722
9437500	,28410,13483,11080,15584,11767,26722,489,12168,2683
10492250	,4571,8996,23612,24984,11176,20045,4949,7868
10609250	,5598,2963,8693
1074500	,9567
11496750	
154500	,12160,3627,28621,10353,18805,12168,5863,21110,28438,8689
1953250	,10176,26722,6096,24196,2610,8313,12352,14020,12394,3658
2182750	,1539,2257,19643,8689
2378500	,19974,12977,21110,18937,14153,11196,3228
2920750	,21862,16302,29490,27155,23407,22359
3363000	,8689,16653,9817,4949,15315,11176,12352,18868,554,3627
4004500	,19686,6571
4054000	,24088,9090
4133750	,21110,9919,1831,4731,14451,20127,27638,25372
5187750	,10171,11904,1481,7868,12220,12747,27092,14580,11080
573000	,19962,19615,16653,18868
7103000	,27092,13737,14580,5574,15423,11080
7476250	,4571,29099,24907,1037,15019,23284
848500	,14261,23628,7323,12977,26722,7286,11196,22393,16406,9838
9212500	
9794000	
9906500	,2683,12394,14294,11328,5185,21110
11032250	,2963,18879,28653
1140750	,15395,22313,14261,1293,12541,7868
11564250	,6104,14969,25483
2200750	,15138,24506,11080,18741,12674,14020,2655
2688750	,28391,22393
4186500	,12394,23779,29547,14261,27092,11080,7105,11196
5239500	,14242,21110,14153
5491500	,7620,26288,3228,1691,2683,14265,14294,4162,9472,13390,1962,18024,7089,21092,20154,17405,25212,25989,20620,21110
5994250	,23793,27625
6766250	,143,4307,29547,18805,27791
6957500	,12754,16722,24898,23861,13793,15534,22029
7657250	,17013,27406,21110,12977,7997,11196,3228
8702500	,9620,12977,24015,27092,27637,16540,7456,18075,17597,617,16406,949,4949,11018,15924,12688,4931,23143,3390,15138,7868,17013,24780,27406,23779,29547,17835,3228,11679,7105,11196
8949750	,21962,2217,4808,16818
9394500	,15018,29099
10112000	,20996,9817,3627,554,2471,21110
10322250	,10702,5185
11984750	,14294,21796,16110,11465,2257,22393,7868,993,12220,4949,11176,20207,251,8689,21110,25086,12352,2683,3627
1815750	,5067
2788750	,11080,5043,4949,13776,2898,8842,12394,27791,7096,11176
3149000	,9804,29008,24503,9486
3723750	,12271,1831,14020,4078
4047000	,7208,2655
5968250	,15934,21565,29095,4949,11612,7868,14902,11196,11176,18730,5086,29099,3228,12977,7323,16406
6205000	
6654750	,21815,13020,10872,10999,8689,21067,18730,21657,3627,11196,11080,1222,7105,11679,1047,16110,14261
7306250	,12220,20506,24379,2249,679,7868
7513250	
8145500	,11176,26523,14020,23612,24196,4731,4949
8195000	,7868,1758,4078,5185,18024
9782500	,11080,4949,23662
980000	,19974
11552750	,251,27791
11683250	,14020,24704,24196,12541
11923000	,25260,21110,16110,26722,11196,18730,2257,3228
12371000	,27160,21110,8662,4949,16550,14261,12352,3658,14020,12220,14294,11176,12394
1699500	,1831
1758250	,251,28463,27791
341000	,7061,15019,1598,26754
5199750	,12220,20506,679
5293250	,12220,20506,679
7034000	,3850,14266,27791
7163250	,21110,12943,18805,9567,8689,17748
7435500	,27950,18024
745750	,27406,21110,7997,24869,4578,12977,11196,3228
8248750	
9436000	,6571
10185750	,25260,3228,16110,819,11052,12977,4949,9838,8724,26722,8027,2257
1104500	,2438,12394,22583,7620,21092,22393,12220,14294,2683,21110
1934750	,21838,25372,21110
200250	,16110,11465,11176,29099,8689,4949,9620,3627,12352
3266750	,3228
