6619500	25086,7868,21110,20207,9817,11465,11176,4949,554,12352,8689,3627
145750	23779,4834,24242,2257,29547,12220,17835,7105,3228,11196
2350750	
12008000	14261
425500	8313,12285
4853750	
8430000	7868,8637
4256500	2410
9039750	7868,13087,10268,23779,911,1293,16406,17013,28177,12977,29547,28937,2257,27406,14580,11652,7105,3228,11196
12215000	15639,14261,3627,14942,4949,8637,7868,12352,6672
591750	12220
11947000	13103,9522,27092,14580,11080
5256500	20679,614
7367000	20297,21975,21336,15686
4956000	14580,11080
7927750	18624,26288
9982500	9369,2683
6572500	29099
10443000	2373,19466,27135
1710500	18977,21865,22727,7868
9706000	24519,28410,15584,13483,15138,22094,6364,26754,25260,14694,24486,11080,20297,11767,26722,2683,12168
3913250	15159,10136,9230,9948,9242,8689,8409
11307500	20300,22359
9351750	12747,27092,14580,11080
4195500	22246,7737
5292000	23779,8643
1194750	679,7400,25366,83
5108000	29203,12352,14580,14020,3627,11080
1617250	11951,11329,2217
10018000	15874,5429,27791
8145500	
12371000	12220,14294,12394
6867750	7552
1319000	
1832000	25687,7868
3188000	
980000	7105,10268,12977,911,28177,28937,11652,11196,3228
5139250	12747,27092,14580,11080
6099250	25372,13244
2050000	26866,14242,21659,27791
2316250	9688,26288,949,679
10533750	11679,21657,7105,1222,16110,14261
4557250	7868
6250250	
8909750	21110
7116750	14930,2257,17835,12220,10308,7105,3228,11196
1815750	5067
1971500	4479,21715,7096,13701,11000,25329
5170500	11176,4949,18730,7868,18805,6096,21672
11111500	27791
6996000	
7016500	15138,24196,29203,17606,14020
6264750	21110
9202750	14294,21092,21110
10302500	6630,14065,28164,679
3114000	23928,20536,21092,21110
452750	251,14796,6672
3404000	29,8689,12352,554,6246,22246,3627,905
1063000	22280,15019
6126750	25117,15019
6766250	18805,27791
1579250	4078
12417500	15138,8689
8156500	6447,4078,1831
3245250	16110,18730,22393,8724,26722,8027,2257
4423500	11936,4147,24193
8195000	5185,18024,4078
11632250	25022,21110,12220
5034000	2128,11679,16550,7465,12220
8845250	14020,26464,21979,11826,13070,12394,22484
