10944750	19673,1461,28752,25687,25372
12028500	12220,13390,17835,7105,11196
1206500	4571,28463,18977,2159,7868
12154500	7105,9549,2568,17640,7868
1620500	5445,28774,12230,5833,23735
4716750	12220,19993,12168,15584,2683
4844000	7868,12899,15934,24196,12220
5654000	4775,4571,23861,29231,5896
5735000	14227,2683,18977,21865,7868
5780000	22529,7061,5814,21336,15811
6061250	29203,22359,16463,14261,679
6458500	11543,27791,574,8637
7860250	
8170750	1966,23143
8622000	8702
8861500	2826
8869250	18805,28438,15631,8689
10224750	25960,2613,1481,11196,11679
10229250	12168,28438,18805,15631,8689
10302500	26087,6630,14065,28164,679
10546500	
1110750	2729,27791,12426,24571,20578
12015000	5176,8024,14020,15138,7552
12173500	12352,15405,9817,554,3627
12388250	16939,23793,1539,28391
1971500	7096,4479,11000,13701,25329
2626250	21865,26523,25193,7868
3963750	26972,251,23662,11176,4949
434750	19973,16972,27511,4571,21911
5220750	18805,15631,25240,28438,8689
5254500	21672,18977,21865,22727,7868
5948500	28057,28382
6067750	
6571000	13878,13430,5470,12162,4254
6849750	19796,27965,2199,11679,2655
6977000	9072,18977,21865,22727,7868
7703750	14020,25058,22908,7868,18075
8149250	2367,24015,3228,11196,11679
8757750	24601,2669,25733,26288,18024
9288000	12220,19993,12168,15584,2683
10696000	11022,19615,3458,14887,21110
11391250	13390,9907,27035,23623,28924
1661750	15315,11080,679,3151,14020
1832000	21865,25372,10916,25687,7868
2771250	476,14694,2963,2513,789
2852250	11679,7105,11682,1222,14261
3001000	12220,20506,27092,679,11080
3211250	7173,6148,27155,16110,17706
3581250	5848,12512,23214,23482,22126
4256500	4694,2410
5034000	18730,16550,11679,7465,12220
5901250	22482,12606,18730,14575
6257000	22749,23563,18990,23628,3740
6996000	13754,12165,6305
9720000	13830,16315,21092,1392,26871
10057000	22447,8193
11362000	17232,4324,2963,10240,8693
11687000	12168,18805,28438,15631,8689
11847750	4571,10948,17020,21372,3555
12008000	24274,7105,25618,1222,14261
12215000	14942,8637,7868,12352,6672
1969000	4220,16550,18002,11679,12220
2132250	14159,22552
3089500	4078,14020,1917
3552000	7105,24385
4770500	20297,27191,12220,6988,10404
4809750	1831,14261,12220,20506,679
7002750	11080,5081,1831,1481
799000	28463,3555,29099,251,27791
8102000	7620,21092,14294,2683,21110
8666500	12132,15269,15672,27961,11790
9035750	17977,20661,7850,18024,9881
9163000	18805,11080,21672,28184,6096
9244000	18977,2159,21865,22727,7868
1046250	18196,6621,251,2257,27791
10768750	7868,12352,19993,6672,2683
10927500	6988,10404,14580,11080
11046750	7169,8637
11339250	6828
12027000	155,3720,21865
1904750	21979,11826,9138,23928,22484
1906000	2438,21110,19993,12220,2683
1909250	14209,6326,24645,10014,504
2138750	11029,14120,18805
2476250	7620,21092,21110
2874500	7910,10840,6203,14914,7868
2921750	15446,29547,14182,143,27791
317500	25086,12352,9620,18805,7868
3524750	17438,16818,4491,4808,26871
3849750	28049,6158,9549
39750	
4184250	4949,10788,12220,14020,241
4215750	1037,12251,19574,4571,23928
4956000	28675,2891,15315,14580,11080
5108000	14580,29203,14020,11080,3627
6874250	26754,19993,12168,15584,2683
8040000	17084,10151,17400,2655,15138
9103250	11080,14020,876,12220,2655
9344000	14795,17024,21110
9420500	2826,4731,25372
10095000	11679,7105,1222,16110,14261
10831750	5640
11434750	10840,7071,18758,20083,9985
2078000	11612,17449,11176,14902,27791
3257000	7868,14261,12220,20506,679
3590000	7567,9907,27035,23623,28924
3787750	25329,3658,7096,26969,2610
5898500	12168,11767,11052,374,26722
591750	13390,5416,21565,12220
6523250	29547,12220,7105,17835,11196
71250	18736,28641
7367000	15811,20297,21336,21975,15686
7687500	20803,12285,5369,290,12394
9811750	25596,10969,22846,12220
10064500	16550,28466,11679,22583,12220
11340250	25329,21110,26973,12394,14294
11612500	29334,16672,18075,5848,19974
12065000	7868,2270,12453
2676250	15446,9472,5267
3035250	29203,27092,14580,14020,11080
3226500	18741,6621,25372,12394,27791
371250	25989,7620,20620,21092,21110
42000	23656,8890,6203,21565,13390
4994000	17087,25596
5754500	11790,8307,3954,12647,14020
7787500	24340,1831
8649250	18024,5267,16540,2826,29203
887500	3699,12747,27092,14580,11080
9173750	1047,16406,11196,11679,16110
9628250	4618,18024,5334,13672,23779
9706000	15584,11767,26722,2683,12168
981000	27160,8662,4949,12394,11176
10054250	11159,1079,4667,20297,19660
10619000	12647,4949
1459750	22583,15138,12220,16550,28059
1966250	8724,8027,11052,26722,2257
3054250	13020,24196,3151,29203,14020
3293750	18075,7070,12758,26523,25193
3952000	4479,11679,16550,2128,12220
4850000	12512,614,19980,1428,11605
4963500	17405,25989,20620,21092,21110
5082750	2059,17280,26631,11029,7868
5906250	251,29547,14182,143,27791
5980500	83,25366
10393750	3438,29265,28992,2437,7868
11493000	18977,2159,21865,22727,7868
11894500	9295,18002,22499,14020,15138
12231250	28149,12168,11767,11052,26722
1446250	19751,23482,18712,20297,7105
1985250	14294,19993,12220,21110,2683
3188000	18025,16463,9567
3520000	21336,14415,1700,21919,28065
364250	2367,24015,12220,11196,11679
38250	4949,12394,18730,14265,11176
4421250	18730,14261,1047,2257,16110
